QUESTION,ANSWER
Why are there different prices for the same product? Is it legal?,"Myntra is an online marketplace platform that enables independent sellers to sell their products to buyers. The prices are solely decided by the sellers, and Myntra does not interfere in the same. There could be a possibility that the same product is sold by different sellers at different prices. Myntra rightfully fulfils all legal compliances of onboarding multiple sellers on its forum as it is a marketplace platform."
How can I contact any seller?,"Myntra.com is a marketplace on which third-party sellers sell products to customers. To contact a seller or raise any grievance against them, please send a letter with the below address on the envelope and include product page URL so that it can be forwarded to the seller. "
"I saw the product at Rs. 1000 but post clicking on the product, there are multiple prices and the size which I want is being sold for Rs. 1600. Why is there a change in price in the product description page?","Myntra is an online marketplace, and multiple sellers could be selling a particular style at different prices as may be set by each such seller respectively. The product price on the listing page of the platform, may not always reflect the lowest price for that particular style. This is because the seller whose price is displayed on the list page is selected based on the application of a number of parameters and price is only one such parameter. However, once you land on the product display page on the platform for a specific style, you will have access to the price offered by all sellers on the platform for the relevant style."
How will I detect fraudulent emails/calls seeking sensitive personal and confidential information?,"If you receive an e-mail, a call from a person/association claiming to be from Myntra seeking sensitive confidential information like debit/credit card PIN, net-banking or mobile banking password, we request you to never provide such confidential and personal data. We at Myntra or our affiliate logistics partner never ask for such confidential and personal data. If you have already revealed such information, report it immediately to an appropriate law enforcement agency.

Here are a couple of baits fraudsters often use to cheat consumers:


Congratulations! You have been nominated as a ‘Top Myntra customer’ and are now eligible for a luxury gift item. Please share your proof of address and your debit/credit card details to avail this great offer.


Hi, I’m calling from Myntra. We are happy to let you know that you have won an exclusive lucky draw coupon of Rs. 5000 on your latest purchase. Please share your credit/debit card number so we can credit the money directly into your bank account."
How will I identify a genuine appointment letter? ,"Please beware of the fraudulent individuals/agencies that are enticing job seekers by promising them career opportunities at Myntra in lieu of 1.) recruitment fee 2.) processing fee 3.) security deposit 4.) software or equipment charges 5.) on-boarding charges etc. Please be cautious that, Myntra and its recruitment partners never ask for any fee in exchange for an offer letter or interview calls. All offer related communications are sent from an official Myntra email id only. "
Why will 'My Cashback' not be available on Myntra? ,"To make your shopping experience easier and simpler, 'My Cashback' will be replaced by PhonePe. PhonePe wallet can be used on Myntra and other PhonePe partners. To use your PhonePe balance, you will have to activate/verify your PhonePe account "
"How do I cancel the order, I have placed? ","Order can be canceled till the same is out for delivery. Note: This may not be applicable for certain logistics partner. You would see an option to cancel within 'My Orders' section under the main menu of your App/Website/M-site then select the item or order you want to cancel. In case you are unable to cancel the order from'My Orders' section, you can refuse it at the time of delivery and refund will be processed into the source account, if order amount was paid online. "
How do I create a Return Request? ,"You can create a Return in three simple steps
Tap on MyOrders
Choose the item to be Returned
Enter details requested and create a return request
"
I have created a Return request. When will the product be picked up? ,Number of days to pickup a product may vary as per the Logistics team that will be assigned to pickup your product. The product will be picked anywhere between 4 – 7 days. 
I have created a Return request. When will I get the refund? ,"Refund will be initiated upon successful pickup as per the Returns Policy. The refund amount is expected to reflect in the customer account within the following timelines:
Debit card/Credit Card/Net Banking/EMI- 7 days
UPI - 5 days
Myntra Credit/Super coins/Gift card/LP - Instant (upto 2 days in case of delay)
Wallets, ex PhonePe, PayZap etc - Instant (upto 2 days in case of delay)
Simple Paylater & Pay in 3 - Instant (upto 5 days in case of delay)
Lazypay - Instant (upto 5 days in case of delay)
"
Where should I self-ship the Returns? ,"You can send the return to any one of the following returns processing facilities listed below. Please ensure that you specify the name of the seller you purchased the products from (You can find the seller name on your order invoice) and dispatch the package to the address listed below. Kindly do not send it to any other address as the return package would not be treated as accepted.
**Bangalore
Instakart Service private limited, Anjaneya storage and warehousing, #421/1 and 43 Kacherakanahalli village,
jadigenahalli, Soukya Road Hosakote Taluk,
Bangalore Rural - 560067
**Hyderabad
Flipkart India Pvt.Ltd, Sy no 696, Gundlapochampally Village, Medchal Mandal, ranga reddy Dist, Secunderabad-501401
**Maharashtra
Survey nos. 42/2, 42/3, 51/2, 51/3, 51/4, 51/5B (old survey no.51/5A+B), 51/5A+6B, 51/5B+6A, 51/6, 57/17, 57/18, in K-square Industrial Park, Before Padgha Toll Naka, Nashik – Mumbai Highway, After Pushkar Mela Hotel, Kurund village, Bhiwandi, Maharashtra – 421101
**Kolkata
INSTAKART SERVICES PRIVATE LIMITED, Stellar FC, L.R. KHATIAN NO.5820, J.L. NO.11,MOUZA-BELUMILKI, BLOCK- SERAMPORE UTTARPARA,P.S- SERAMPORE,GRAM PANCHAYAT, PEARAPUR, HOOGHLY (D)- 712223
**Haryana
Block C, Embassy Industrial Parks Private Limited, Village Pathredi, Tehsil -Manesar, Gurugram(D) Haryana, INDIA- 122413
"
I have accumulated Myntra Points in my account. How can I redeem them? ,"To redeem Myntra Points, you will have to continue shopping with us on App/M-site/Website. In case, you don’t have access to the App/Website or M-site, don’t worry, your Myntra Points are safe with us, whenever you get access of these Platforms in future, you can redeem the same (unless points have not expired) "
What is Myntra's Platform Fee? ,"Platform fee is levied by Myntra to sustain the efficient operations and continuous improvement of the platform, for a hassle-free app experience. "
Refund of Platform Fee ,"a) If the order is lost or undelivered to the preferred location, the complete order amount will be refunded if paid online, including the platform fee.
b) If a customer cancels an order partially or returns an order, platform charges will not be refunded.
c) Platform charges will be refunded in case of a full order cancellation
d) For accounts whose return behavior does not adhere to our fair usage policy, platform fee will be non-refundable irrespective of order value*.
*Order value is calculated after applying discounts/VAT/GST or any other applicable charges.
"
What is Myntra’s Fair Usage Policy? ,"We always strive to provide the best experience to our customers. However, very rarely, there are some accounts that misuse Myntra's customer-friendly return service. These accounts typically return more items compared to an average user or frequently choose to not accept their shipments. "
How do I check the status of my order? ,Please tap on “My Orders” section under main menu of App/Website/M-site to check your order status. 
How can I check if Myntra delivers to my PIN Code? ,"You can find out if Myntra delivers to your PIN Code using the Pin code serviceability tool available on the product page. Please tap on “Check Delivery options” and enter your area PIN code in the respective field to get the required information about standard order delivery time and availability of Cash on Delivery for the Product selected. The PIN codes serviced by us are frequently updated, so if we do not deliver to your PIN code today, please come back and check to see if this has changed. "
Does Myntra deliver products outside India? ,"No. At this point, Myntra delivers products only within India. "
How can I get my order delivered faster? ,"Sorry, currently we do not have any service available to expedite the order delivery. In future, if we are offering such service and your area pincode is serviceable, you will receive a communication from our end. "
I have received a partial item/partial order or an Untenanted/Void packet? ,"Kindly reach out to us for pilferage within 72 hours of delivery failing which the claim will not be entertained. Whilst we investigate, request you to please make note of the below pointers:
Please do not use the item for which claim is being raised.
You may be required to information’s like, short description of the case (A few questions will be asked to help us understand the scenario)
The snapshots of the packet and other boxes (If any) (Try to cover the sides which look tampered/damaged as per the Users
The refund for prepaid/Cash on delivery orders will be done after the investigation
You may not be liable for a refund, if he/she falls in any of the scenarios stated below:
Failure to provide adequate information about the case.
Failure to provide snapshots of the packet and box(if any)
If a pilferage delivery was received, pilferage claims must be made the same day.
You must not dispose of the packaging for 3 - 4 days post - delivery. We might need to pick-up your packaging for investigation at our end.
You have used the item for which claim was raised.
In case of a component missing from a multi-component item such as Kurta, Bed - sheets, inner wear sets etc.only exchange return option would be provided basis serviceability and product type
"
What is Myntra's Cancellation Policy? ,"You can now cancel an order when it is in packed/shipped status, as long as the cancel option is available on App/Website/M-site. This includes items purchased on sale also. Any amount paid will be credited into the same payment mode using which the payment was made "
Can I modify the shipping address of my order after it has been placed? ,"Yes, You can modify the shipping address of your order before we have processed (packed) it, by updating it under 'change address' option which is available under ‘My order’ section of App/Website/M-site "
How do I cancel my Order? ,Tap on “My Orders” section under the main menu of your App/Website/M-site and then select the item or order you want to cancel 
I just cancelled my order. When will I receive my refund? ,"If you had selected Cash on Delivery, there is no amount to be refunded because you haven't paid for your order. For payments made via Credit Card, Debit Card, Net Banking, or Wallet you will receive refund into the source account within 7-10 days from the time of order cancellation. If payment was made by redeeming PhonePe wallet balance then, then refund will be instant post order cancellation, which can be later transferred into your bank account, by contacting PhonePe customer support team."
What is Myntra's Return and Exchange Policy? How does it work? ,"Myntra's returns and exchange policy gives you an option to return or exchange items purchased on Myntra for any reason within the specified return/exchange period (check product details page for the same) Returns will be picked from the same address where the product is delivered. Feel free to try on a product but all we ask is that the product remains unused and is preserved in its original condition along with the tags and packaging. In case a Seal Tag is received with the item, ensure that it remains attached & intact with the product to avoid any hassles in the event of a return/exchange. There are two ways to return the product to us:
Pick up: In most locations, we offer a free pick up service. You will see a pickup option when you submit a return request.
Self-Ship: If we don't offer a pick up at your location. In such cases, we will credit the shipping costs in the form of Myntra credits provided the product meets the return policy and you have shared scan copy of the courier receipt with us.
During Pick Up, our delivery agent may do a quality check on the return. For a successful pick up, we will initiate a doorstep refund for the return amount into the refund mode selected at the time of initiating the return request. This doorstep refund may not be applicable for some pin codes in which case refund will be initiated after the product has been received at our warehouse and has passed a quality check. If the picked up product does not pass the quality check, we shall ship it back to you. If you choose to exchange the item for reason of mismatch of size or receipt of a defective item, you will be provided with a replacement of the item, free of cost. However all exchanges are subject to stock availability and subject to your address being serviceable for an exchange. If you choose to exchange an item, our delivery representative will deliver the new item to you and simultaneously pick up the original item from you. Please note that we offer you an option to exchange items purchased by you on Myntra for same or different sizes of same style or for any other item of the same or different value from Myntra within the specified exchange period subject to your address being serviceable for an exchange.
The following EXCEPTIONS and RULES apply to this Policy:
Swarovski, Precious Jewelry, Rayban Sunglasses, Socks, Briefs, Shapewear Bottoms, any Lingerie Set that includes a Brief, Swimwear, Mittens, Wrist-Bands cannot be exchanged or returned.
Some products like fine jewellery, watches and selected products which are susceptible to damage can only be returned/exchanged for a limited number of days. Certain products like sherwanis can only be exchanged not returned. Please read the Product Detail Page to see the number of days upto which a product can be returned/exchanged, post-delivery.
Due to the intimate nature, we handle returns for certain Innerwear, Sleepwear and Lingerie items differently. Only self-ship return is allowed for such items, hence pickup facility will not be available. Also, these items cannot be exchanged.
All items to be returned or exchanged must be unused and in their original condition with all original tags and packaging intact (for e.g. shoes must be packed in the original shoe box).
Under Exchange Policy,
Note: Exchange/Replacement will be delivered at the same address where the original product was delivered. In case you wish to receive an exchange to a new address, we recommend returning the item for a refund and placing a new order with the new address.
a) If you choose to exchange the item purchased by you on Myntra within the specified exchange period for the same size or different size of same style, you will be provided with a replacement of the item, free of cost.
b) If you choose to exchange item purchased by you on Myntra for any other item of the same or different value from Myntra. In such case, if exchanged item is of the higher value, differences in amount will be charged to you and if exchanged item is of the lower value, differences in amount will be refunded to you post successful pick up of original item from you.
c) Net amount paid by you (excluding instant cashback/discount) to purchase original item will be considered to calculate difference in amount of original and exchanged item which will be payable by you or refundable by Myntra as the case may be, for an exchange.
d) Applicable refund for exchange will be trigger post successful pick of original item from you.
6) All exchanges are subject to stock availability and subject to your address being serviceable for an exchange.
7) Item cannot be exchanged for multiple products and you are allowed to select single item for exchange. While customer can exchange multiple item at a time by initiating separate exchange request for each of the item.
8) Non- returnable products/categories cannot be exchanged.
9) Platform Handling Fee (as defined under ‘Terms of Use’) is not applicable to exchanged orders.
10) Myntra shall reserve the right to restrict exchange of the items purchased on Myntra if customer in any way breaches or misuse this policy, as determined in Myntra’s sole discretion.In case you have purchased an item which has a free gift/offer associated with it and you wish to return the main item, then you will have to return the free product as well.
11) Myntra will not be liable for the products returned by mistake. In circumstances where an extra or a different product is returned by mistake, Myntra would not be accountable for misplacement or replacement of the product and is not responsible for its delivery back to the User
12) If you self-ship your returns, kindly pack the items securely to prevent any loss or damage during transit. For all self-shipped returns, we recommend you use a reliable courier service.
13) If you self-ship your returns, your shipping costs would be reimbursed subject to your return having met our Returns and Exchange Policy and the image of the courier receipt is shared by you and validated by us. For self ship returns the refund for returned products will only be initiated if they pass through a quality check conducted at the warehouse. If the quality check fails the product will be reshipped back to you.
"
"To return a product to Myntra, please follow these steps: ","You can return products purchased from Myntra within the specified return/exchange period(check product details page for the same), except for our non-returnable products and high-value products which can only be returned for limited number of days.
Create a 'Return Request' under “My Orders” section of App/Website/M-site. Follow the screens that come up after tapping on the 'Return’ button. Please make a note of the Return ID that we generate at the end of the process. Keep the item ready for pick up or ship it to us basis on the return mode
We offer pick-up facility in selected locations basis serviceability.
If reverse pick-up option is not available at your location you can self-ship the product to us
Pick-up: If you select to schedule a pick-up, please place the product in a packet and the product must be unused, unwashed and all the tags are intact.Keep the packet ready and open to expedite the return pickup. Our staff may initially examine the product at the time of pickup and a further quality check of the product will be conducted at our Returns Desk.
Self-ship: In case your area pincode is not eligible for “Pick-up” mode then, please self-ship the product to our Returns desk.Please pack the product and ensure product is unused, unwashed and all the tags are intact.Also, please mention Order No and Return id on a piece of paper and place it in the packet. Kindly address the package to the address of the Returns desk closest to you. We have listed out the addresses of the Returns desk in another section on this page.
We will send you a confirmation email as soon as we receive the shipment at our warehouse. At any time, you can track the status of your return request on App/Website/Msite.
NOTE: NO PRODUCTS SHALL BE ACCEPTED IF THE WARRANTY CARD IS MISSING WHILE RETURN OR EXCHANGE OF THE PRODUCTS.
"
How do I place an exchange request on Myntra? ,"If you would like to exchange products purchased from Myntra, please follow below mentioned steps:
You can create exchange for products purchased from Myntra within the specified return/exchange period (check product details page for the same) under “My Orders” section of App/Website/M-site. If your address is serviceable for exchange you will be able to proceed and generate an exchange id. Please note down your exchange id for future reference
Place the product in a packet but do not seal it. Please ensure product is unused, unwashed with all the tags intact.
Hand over the original product to our delivery staff and receive the exchange item from him. Please ensure that you have the original item available with you at the same address which has been selected for delivery of the exchange item.
At any time, you can track the status of your exchange requests under “My Orders” of App/Website/M-site.
"
What is No Questions Asked Returns? ,"Once you create a return via App / Desktop as per the returns policy, Myntra will ensure a quick, easy and seamless returns experience for you. Our delivery agents may perform a simple quality check at your doorstep and upon acceptance of the return, your refund will be initiated immediately. "
Why has my return been put on hold despite No Questions Asked Returns Policy? ,"At the time of creating a return, customers are requested to confirm (via a check box click) that the product being returned is unused with original tags intact. At the time of pickup, if the above conditions are not found to be met, your return may be put on hold pending further clarification with our Contact Center. "
What is Instant Refunds? ,"Upon successful pickup of the return product at your doorstep, Myntra will instantly initiate the refund to your source account or chosen method of refund. Instant Refunds is not available in a few select pin codes and for all self ship returns. "
Why have I not received my Refund despite Instant Refunds policy? ,"For refunds taken into source accounts via UPI & Wallet, your refund will reflect instantly(48hrs in case of delay).For refunds taken to source accounts (that is Credit Card, Debit Card and Netbanking), your refund may take 5 business days to reflect in your account depending upon your bank partner. "
How long would it take me to receive the refund of the returned product? ,"After the refund has been initiated by Myntra as per the Returns Policy, the refund amount is expected to reflect in the customer account as per the following timelines:
Debit card/Credit Card/Net Banking/EMI- 7 days
UPI - 5 days
Myntra Credit/Super coins/Gift card/LP - Instant (upto 2 days in case of delay)
Wallets, ex PhonePe, PayZap etc - Instant (upto 2 days in case of delay)
Simple Paylater & Pay in 3 - Instant (upto 5 days in case of delay)
Lazypay - Instant (upto 5 days in case of delay)
Please note, Myntra initiates the refund upon successful return pick up, or after the returned item has reached us and quality check is successful. Therefore, the refund initiation time may vary by time taken to deliver the return to a Myntra warehouse. In case of any refund discrepancies, Myntra may at its sole discretion, request you to share with us a screenshot of your bank statement.
Note : You can maintain up to five bank accounts for NEFT/IMPS refunds and a single bank account can be linked upto five Myntra accounts. If you wish to add a new bank account over and above, please delete an existing bank account.
"
How do I return multiple products from a single order? ,"If you are returning multiple products from a single order then, you will receive a separate Return ID via e-mail for each item. If you are self-shipping the products, you can ship all the products in a single shipment. Please mention the Return IDs for all the products on a single sheet of paper and place it inside the packet. "
